Level,Path,Node,Parent,Is Leaf
"0","Software Development","Software Development","","No"
"1","Software Development > Programming Paradigms","Programming Paradigms","Software Development","No"
"2","Software Development > Programming Paradigms > Imperative","Imperative","Programming Paradigms","No"
"3","Software Development > Programming Paradigms > Imperative > Procedural","Procedural","Imperative","Yes"
"3","Software Development > Programming Paradigms > Imperative > Object-Oriented","Object-Oriented","Imperative","Yes"
"3","Software Development > Programming Paradigms > Imperative > Parallel","Parallel","Imperative","Yes"
"2","Software Development > Programming Paradigms > Declarative","Declarative","Programming Paradigms","No"
"3","Software Development > Programming Paradigms > Declarative > Functional","Functional","Declarative","Yes"
"3","Software Development > Programming Paradigms > Declarative > Logic","Logic","Declarative","Yes"
"3","Software Development > Programming Paradigms > Declarative > Reactive","Reactive","Declarative","Yes"
"1","Software Development > Development Methodologies","Development Methodologies","Software Development","No"
"2","Software Development > Development Methodologies > Agile","Agile","Development Methodologies","No"
"3","Software Development > Development Methodologies > Agile > Scrum","Scrum","Agile","Yes"
"3","Software Development > Development Methodologies > Agile > Kanban","Kanban","Agile","Yes"
"3","Software Development > Development Methodologies > Agile > XP","XP","Agile","Yes"
"3","Software Development > Development Methodologies > Agile > Lean","Lean","Agile","Yes"
"2","Software Development > Development Methodologies > Traditional","Traditional","Development Methodologies","No"
"3","Software Development > Development Methodologies > Traditional > Waterfall","Waterfall","Traditional","Yes"
"3","Software Development > Development Methodologies > Traditional > V-Model","V-Model","Traditional","Yes"
"3","Software Development > Development Methodologies > Traditional > Spiral","Spiral","Traditional","Yes"
"1","Software Development > Architecture Patterns","Architecture Patterns","Software Development","No"
"2","Software Development > Architecture Patterns > Structural","Structural","Architecture Patterns","No"
"3","Software Development > Architecture Patterns > Structural > MVC","MVC","Structural","Yes"
"3","Software Development > Architecture Patterns > Structural > MVVM","MVVM","Structural","Yes"
"3","Software Development > Architecture Patterns > Structural > Layered","Layered","Structural","Yes"
"3","Software Development > Architecture Patterns > Structural > Hexagonal","Hexagonal","Structural","Yes"
"2","Software Development > Architecture Patterns > Distributed","Distributed","Architecture Patterns","No"
"3","Software Development > Architecture Patterns > Distributed > Microservices","Microservices","Distributed","Yes"
"3","Software Development > Architecture Patterns > Distributed > Event-Driven","Event-Driven","Distributed","Yes"
"3","Software Development > Architecture Patterns > Distributed > Service-Oriented","Service-Oriented","Distributed","Yes"
"1","Software Development > Data Structures","Data Structures","Software Development","No"
"2","Software Development > Data Structures > Linear","Linear","Data Structures","No"
"3","Software Development > Data Structures > Linear > Array","Array","Linear","Yes"
"3","Software Development > Data Structures > Linear > Linked List","Linked List","Linear","Yes"
"3","Software Development > Data Structures > Linear > Stack","Stack","Linear","Yes"
"3","Software Development > Data Structures > Linear > Queue","Queue","Linear","Yes"
"2","Software Development > Data Structures > Non-Linear","Non-Linear","Data Structures","No"
"3","Software Development > Data Structures > Non-Linear > Tree","Tree","Non-Linear","Yes"
"3","Software Development > Data Structures > Non-Linear > Graph","Graph","Non-Linear","Yes"
"3","Software Development > Data Structures > Non-Linear > Hash Table","Hash Table","Non-Linear","Yes"
"1","Software Development > Design Patterns","Design Patterns","Software Development","No"
"2","Software Development > Design Patterns > Creational","Creational","Design Patterns","No"
"3","Software Development > Design Patterns > Creational > Singleton","Singleton","Creational","Yes"
"3","Software Development > Design Patterns > Creational > Factory","Factory","Creational","Yes"
"3","Software Development > Design Patterns > Creational > Builder","Builder","Creational","Yes"
"2","Software Development > Design Patterns > Structural","Structural","Design Patterns","No"
"3","Software Development > Design Patterns > Structural > Adapter","Adapter","Structural","Yes"
"3","Software Development > Design Patterns > Structural > Decorator","Decorator","Structural","Yes"
"3","Software Development > Design Patterns > Structural > Proxy","Proxy","Structural","Yes"
"2","Software Development > Design Patterns > Behavioral","Behavioral","Design Patterns","No"
"3","Software Development > Design Patterns > Behavioral > Observer","Observer","Behavioral","Yes"
"3","Software Development > Design Patterns > Behavioral > Strategy","Strategy","Behavioral","Yes"
"3","Software Development > Design Patterns > Behavioral > Command","Command","Behavioral","Yes"
