Goal,Quarter,Objective,KR1,KR2,KR3
"G1","Q1","Close 50 pilot enterprise deals","20 pilots signed","ARR +$500K","Churn < 2%"
"G1","Q2","Launch LATAM market","3 anchor customers","Local pricing","Spanish l10n"
"G1","Q3","Scale partner program to 10 resellers","10 resellers","Pipeline $2M","Partner portal live"
"G1","Q4","Hit 3× ARR milestone","ARR target hit","500 accounts","NDR ≥ 120%"
"G2","Q1","Ship v2 onboarding flow","Time-to-value < 5 min","Activation +25%","NPS baseline set"
"G2","Q2","Feature parity with top 3 competitors","Gap list closed","Win-rate +15%","Analyst brief"
"G2","Q3","Mobile & API-first experience","Mobile beta","API v2 GA","SDK published"
"G2","Q4","Achieve NPS ≥ 60","NPS 60","CSAT 4.5","Support deflection 40%"
"G3","Q1","Multi-region active-active deployment","3 regions","Failover < 30 s","DR tested"
"G3","Q2","Observability platform upgrade","OTel adopted","MTTR -40%","Dashboards live"
"G3","Q3","Database sharding for 10× scale","Shard design","Migration plan","Load tests pass"
"G3","Q4","Achieve 99.99% uptime SLA","Uptime met","p99 < 200ms","0 P0 incidents"
"G4","Q1","Establish hiring pipelines","Scorecards done","15 hires","Offer acceptance ≥ 80%"
"G4","Q2","Launch L&D curriculum","Paths for IC3-5","70% enrolled","Mgr training"
"G4","Q3","Culture & inclusion audit","Survey done","3 ERGs live","Action plan"
"G4","Q4","eNPS ≥ 50","eNPS hit","40 hires total","Retention ≥ 92%"
"G5","Q1","Deploy CI/CD overhaul","Build time -50%","Pipeline green","Rollback < 5 min"
"G5","Q2","Incident management framework","Runbooks","On-call rotation","MTTR -40%"
"G5","Q3","Security & compliance audit","Pen test","SAST/DAST","SOC2 renewal"
"G5","Q4","ISO 27001 certification","Audit passed","Policies live","Training complete"
