Area,KPI,Baseline,Q1,Q2,Q3,Q4
"Revenue","ARR","$2M","$3M","$4M","$5.5M","$6M"
"Revenue","Net Dollar Retention","105%","108%","112%","116%","120%"
"Revenue","Churn Rate","3%","2.5%","2.2%","2%","1.8%"
"Product","NPS","42","45","50","56","60"
"Product","Activation Rate","38%","45%","52%","58%","63%"
"Product","Time-to-Value (min)","12","8","6","5","5"
"Platform","Uptime","99.9%","99.95%","99.97%","99.99%","99.99%"
"Platform","p99 Latency (ms)","450","350","280","220","200"
"Platform","MTTR (min)","62","48","40","34","30"
"People","eNPS","32","38","42","47","50"
"People","Headcount (Eng)","60","70","80","90","100"
"People","Retention Rate","88%","89%","90%","91%","92%"
"Operations","Deploy Cycle (days)","7","5","4","3","2"
"Operations","Build Time (min)","22","16","13","11","11"
